step,cost,time
0,29.105443954467773,0.0
1,28.165904998779297,0.00039315223693847656
2,28.165904998779297,0.00045490264892578125
3,27.4666805267334,0.0007822513580322266
4,27.4666805267334,0.0008382797241210938
5,26.303110122680664,0.0011341571807861328
6,26.303110122680664,0.001190185546875
7,25.9969482421875,0.0014781951904296875
8,25.9969482421875,0.0015339851379394531
9,25.526939392089844,0.001825094223022461
10,25.526939392089844,0.0018811225891113281
11,24.852149963378906,0.002160310745239258
12,24.852149963378906,0.0022170543670654297
13,24.519699096679688,0.0025281906127929688
14,24.519699096679688,0.0025882720947265625
15,23.71137809753418,0.0028700828552246094
16,23.71137809753418,0.0029251575469970703
17,23.37691879272461,0.003203153610229492
18,23.37691879272461,0.0032601356506347656
19,22.990949630737305,0.003554105758666992
20,22.990949630737305,0.003609180450439453
21,22.360668182373047,0.003885030746459961
22,22.360668182373047,0.00394129753112793
23,22.509239196777344,0.004238128662109375
24,22.509239196777344,0.004297971725463867
25,21.968626022338867,0.004580259323120117
26,21.968626022338867,0.004636287689208984
27,21.87618637084961,0.004912137985229492
28,21.87618637084961,0.004971027374267578
29,20.975433349609375,0.005269050598144531
30,20.975433349609375,0.0053250789642333984
31,19.9135799407959,0.005605220794677734
32,19.9135799407959,0.005661964416503906
33,19.592260360717773,0.0059621334075927734
34,19.592260360717773,0.006022214889526367
35,19.108055114746094,0.0062983036041259766
36,19.108055114746094,0.006354093551635742
37,18.93779754638672,0.006629228591918945
38,18.93779754638672,0.006685018539428711
39,18.67518424987793,0.0069730281829833984
40,18.67518424987793,0.007029056549072266
41,18.574857711791992,0.007305145263671875
42,18.574857711791992,0.007363080978393555
43,18.088817596435547,0.007661104202270508
44,18.088817596435547,0.007719278335571289
45,17.939706802368164,0.00799417495727539
46,17.939706802368164,0.008049964904785156
47,17.68903160095215,0.008341073989868164
48,17.68903160095215,0.008396148681640625
49,17.67727279663086,0.008671045303344727
50,17.67727279663086,0.008726119995117188
51,17.320507049560547,0.009014129638671875
52,17.320507049560547,0.009070158004760742
53,17.915401458740234,0.009347200393676758
54,17.915401458740234,0.009402275085449219
55,18.022018432617188,0.009685993194580078
56,18.022018432617188,0.009741067886352539
57,17.57427215576172,0.010015010833740234
58,17.57427215576172,0.010071039199829102
59,17.13481330871582,0.010372161865234375
60,17.13481330871582,0.010430097579956055
61,16.56143569946289,0.010704278945922852
62,16.56143569946289,0.010759115219116211
63,16.1415958404541,0.01104116439819336
64,16.1415958404541,0.011097192764282227
65,15.907417297363281,0.011373043060302734
66,15.907417297363281,0.011428117752075195
67,15.776017189025879,0.011709928512573242
68,15.776017189025879,0.011765003204345703
69,15.738834381103516,0.012038230895996094
70,15.738834381103516,0.012093067169189453
71,15.387598037719727,0.012374162673950195
72,15.387598037719727,0.012430191040039062
73,15.186923027038574,0.012703180313110352
74,15.186923027038574,0.012758016586303711
75,14.504093170166016,0.013052225112915039
76,14.504093170166016,0.013108015060424805
77,14.345964431762695,0.013384103775024414
78,14.345964431762695,0.013439178466796875
79,14.46839714050293,0.01371908187866211
80,14.46839714050293,0.01377415657043457
81,14.357087135314941,0.01404714584350586
82,14.357087135314941,0.014103174209594727
83,14.35218620300293,0.014388084411621094
84,14.35218620300293,0.014443159103393555
85,14.675798416137695,0.01472020149230957
86,14.675798416137695,0.014780998229980469
87,14.602086067199707,0.015059947967529297
88,14.602086067199707,0.015116214752197266
89,14.625784873962402,0.01539301872253418
90,14.625784873962402,0.015453100204467773
91,14.628997802734375,0.01574110984802246
92,14.628997802734375,0.01579594612121582
