method,m,i,step,cost,time
sampled,10,5,0,23.59001922607422,14.743592023849487
sampled,10,5,1,22.09082794189453,14.743592023849487
sampled,10,5,2,21.097698211669922,14.743592023849487
sampled,10,5,3,19.861555099487305,14.743592023849487
sampled,10,5,4,19.029582977294922,14.743592023849487
sampled,10,5,5,17.838939666748047,14.743592023849487
sampled,10,5,6,16.85059356689453,14.743592023849487
sampled,10,5,7,16.513233184814453,14.743592023849487
sampled,10,5,8,15.825199127197266,14.743592023849487
sampled,10,5,9,15.386123657226562,14.743592023849487
sampled,10,5,10,15.133991241455078,14.743592023849487
sampled,10,5,11,14.551492691040039,14.743592023849487
sampled,10,5,12,14.412718772888184,14.743592023849487
sampled,10,5,13,13.751842498779297,14.743592023849487
sampled,10,5,14,13.20481014251709,14.743592023849487
sampled,10,5,15,12.779637336730957,14.743592023849487
sampled,10,5,16,12.02975845336914,14.743592023849487
sampled,10,5,17,11.969417572021484,14.743592023849487
sampled,10,5,18,11.272989273071289,14.743592023849487
sampled,10,5,19,11.161216735839844,14.743592023849487
sampled,10,5,20,10.389622688293457,14.743592023849487
sampled,10,5,21,9.904239654541016,14.743592023849487
sampled,10,5,22,9.62653636932373,14.743592023849487
sampled,10,5,23,9.65932846069336,14.743592023849487
sampled,10,5,24,9.433080673217773,14.743592023849487
sampled,10,5,25,9.428997039794922,14.743592023849487
sampled,10,5,26,9.388647079467773,14.743592023849487
sampled,10,5,27,9.798799514770508,14.743592023849487
sampled,10,5,28,9.559041976928711,14.743592023849487
sampled,10,5,29,9.55482292175293,14.743592023849487
sampled,10,5,30,9.360755920410156,14.743592023849487
sampled,10,5,31,9.019818305969238,14.743592023849487
sampled,10,5,32,8.696877479553223,14.743592023849487
sampled,10,5,33,8.380635261535645,14.743592023849487
sampled,10,5,34,8.012494087219238,14.743592023849487
sampled,10,5,35,7.79464054107666,14.743592023849487
sampled,10,5,36,7.935174942016602,14.743592023849487
sampled,10,5,37,7.834830284118652,14.743592023849487
sampled,10,5,38,7.861108779907227,14.743592023849487
sampled,10,5,39,8.071414947509766,14.743592023849487
sampled,10,5,40,7.939366340637207,14.743592023849487
sampled,10,5,41,8.082181930541992,14.743592023849487
sampled,10,5,42,8.082181930541992,14.743592023849487
sampled,10,5,43,7.894876956939697,14.743592023849487
sampled,10,5,44,7.720064163208008,14.743592023849487
sampled,10,5,45,7.477704048156738,14.743592023849487
sampled,10,5,46,7.498064994812012,14.743592023849487
sampled,10,5,47,7.451991081237793,14.743592023849487
sampled,10,5,48,7.279383182525635,14.743592023849487
sampled,10,5,49,7.279383182525635,14.743592023849487
sampled,10,5,50,7.037334442138672,14.743592023849487
sampled,10,5,51,7.065715312957764,14.743592023849487
sampled,10,5,52,7.10722541809082,14.743592023849487
sampled,10,5,53,7.046699523925781,14.743592023849487
sampled,10,5,54,6.948963642120361,14.743592023849487
sampled,10,5,55,6.952580451965332,14.743592023849487
sampled,10,5,56,6.910573959350586,14.743592023849487
sampled,10,5,57,6.979156494140625,14.743592023849487
sampled,10,5,58,7.444796085357666,14.743592023849487
sampled,10,5,59,7.570464134216309,14.743592023849487
sampled,10,5,60,7.473603248596191,14.743592023849487
sampled,10,5,61,7.3263936042785645,14.743592023849487
