method,m,i,step,cost,time
random,2,1,0,36.9920539855957,10.590118169784546
random,2,1,1,36.54410934448242,10.590118169784546
random,2,1,2,36.25457763671875,10.590118169784546
random,2,1,3,36.3223876953125,10.590118169784546
random,2,1,4,36.317203521728516,10.590118169784546
random,2,1,5,36.14152145385742,10.590118169784546
random,2,1,6,36.36302947998047,10.590118169784546
random,2,1,7,36.535118103027344,10.590118169784546
random,2,1,8,36.458499908447266,10.590118169784546
random,2,1,9,36.368614196777344,10.590118169784546
random,2,1,10,36.16301727294922,10.590118169784546
random,2,1,11,36.13172912597656,10.590118169784546
random,2,1,12,36.09761428833008,10.590118169784546
random,2,1,13,35.94197082519531,10.590118169784546
random,2,1,14,35.80109405517578,10.590118169784546
random,2,1,15,35.761959075927734,10.590118169784546
random,2,1,16,35.95738220214844,10.590118169784546
random,2,1,17,35.73387145996094,10.590118169784546
random,2,1,18,35.62732696533203,10.590118169784546
random,2,1,19,35.67457580566406,10.590118169784546
random,2,1,20,35.61244201660156,10.590118169784546
random,2,1,21,35.93547058105469,10.590118169784546
random,2,1,22,35.951961517333984,10.590118169784546
random,2,1,23,35.66817092895508,10.590118169784546
random,2,1,24,35.52744674682617,10.590118169784546
random,2,1,25,35.031673431396484,10.590118169784546
random,2,1,26,35.00852966308594,10.590118169784546
random,2,1,27,35.00852966308594,10.590118169784546
random,2,1,28,34.65234375,10.590118169784546
random,2,1,29,34.6069450378418,10.590118169784546
random,2,1,30,34.19896697998047,10.590118169784546
random,2,1,31,34.19780731201172,10.590118169784546
random,2,1,32,33.84248352050781,10.590118169784546
random,2,1,33,33.84248352050781,10.590118169784546
random,2,1,34,33.98326873779297,10.590118169784546
random,2,1,35,34.02269744873047,10.590118169784546
random,2,1,36,34.016510009765625,10.590118169784546
random,2,1,37,34.016510009765625,10.590118169784546
random,2,1,38,34.01034927368164,10.590118169784546
random,2,1,39,34.011436462402344,10.590118169784546
random,2,1,40,34.19316864013672,10.590118169784546
random,2,1,41,34.154781341552734,10.590118169784546
random,2,1,42,34.12199783325195,10.590118169784546
random,2,1,43,34.073570251464844,10.590118169784546
random,2,1,44,33.74665832519531,10.590118169784546
random,2,1,45,33.25776672363281,10.590118169784546
random,2,1,46,33.20700454711914,10.590118169784546
random,2,1,47,33.498741149902344,10.590118169784546
random,2,1,48,33.498741149902344,10.590118169784546
random,2,1,49,33.721473693847656,10.590118169784546
random,2,1,50,33.6993408203125,10.590118169784546
random,2,1,51,33.73712158203125,10.590118169784546
random,2,1,52,33.56269073486328,10.590118169784546
random,2,1,53,33.538150787353516,10.590118169784546
random,2,1,54,33.849029541015625,10.590118169784546
random,2,1,55,33.80719757080078,10.590118169784546
random,2,1,56,33.80719757080078,10.590118169784546
random,2,1,57,33.89930725097656,10.590118169784546
random,2,1,58,34.322837829589844,10.590118169784546
random,2,1,59,34.165225982666016,10.590118169784546
random,2,1,60,34.5159912109375,10.590118169784546
random,2,1,61,35.023189544677734,10.590118169784546
random,2,1,62,34.86188888549805,10.590118169784546
random,2,1,63,35.07514572143555,10.590118169784546
random,2,1,64,35.089229583740234,10.590118169784546
random,2,1,65,35.78118133544922,10.590118169784546
random,2,1,66,35.90382766723633,10.590118169784546
random,2,1,67,35.725303649902344,10.590118169784546
random,2,1,68,35.55364990234375,10.590118169784546
random,2,1,69,35.568946838378906,10.590118169784546
random,2,1,70,35.468318939208984,10.590118169784546
random,2,1,71,35.66893005371094,10.590118169784546
random,2,1,72,35.688777923583984,10.590118169784546
random,2,1,73,35.688777923583984,10.590118169784546
random,2,1,74,35.75681686401367,10.590118169784546
random,2,1,75,35.7071647644043,10.590118169784546
random,2,1,76,36.04607009887695,10.590118169784546
random,2,1,77,35.831138610839844,10.590118169784546
random,2,1,78,35.54444885253906,10.590118169784546
random,2,1,79,35.464813232421875,10.590118169784546
random,2,1,80,35.7015495300293,10.590118169784546
random,2,1,81,35.488285064697266,10.590118169784546
random,2,1,82,35.641082763671875,10.590118169784546
random,2,1,83,35.63480758666992,10.590118169784546
random,2,1,84,35.345428466796875,10.590118169784546
random,2,1,85,35.4515380859375,10.590118169784546
random,2,1,86,35.451271057128906,10.590118169784546
random,2,1,87,35.81829833984375,10.590118169784546
random,2,1,88,35.82208251953125,10.590118169784546
random,2,1,89,35.802581787109375,10.590118169784546
random,2,1,90,35.802581787109375,10.590118169784546
random,2,1,91,35.56415557861328,10.590118169784546
random,2,1,92,35.65962219238281,10.590118169784546
random,2,1,93,35.77091979980469,10.590118169784546
random,2,1,94,35.52165985107422,10.590118169784546
random,2,1,95,35.19172286987305,10.590118169784546
random,2,1,96,35.48882293701172,10.590118169784546
random,2,1,97,35.646202087402344,10.590118169784546
random,2,1,98,35.2829704284668,10.590118169784546
